no,no_bam,situs,poktan,desa,bast
242,242/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104854/empty,Makmur,Caluk,10620000
243,243/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104856/empty,Sido Dadi,Crabak,16225000
244,244/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104858/empty,Ngudi Makmur,Duri,21240000
245,245/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104861/empty,Tani Waras,Galak,11800000
246,246/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104863/empty,Catur Manunggal,Gundik,14160000
247,247/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104865/empty,Among Tani,Janti,8850000
248,248/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104867/empty,Sumber Tani,Jebeng,19470000
249,249/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104869/empty,Setyo Rukun,Kambeng,11800000
250,250/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104871/empty,Gemah Ripah,Menggare,5900000
251,251/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104873/empty,Rukun Santoso,Mojopitu,8850000
252,252/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104875/empty,Mulya Jaya,Nailan,5900000
253,253/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104877/empty,Mitra Usaha Tani,Ngilo-Ilo,14750000
254,254/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104879/empty,Bali Rukun,Ngloning,8850000
255,255/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104880/empty,Sido Rukun,Plancungan,11800000
256,256/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104881/empty,Ngudi Makmur,Senepo,11800000
257,257/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104882/empty,Binta Tani,Simo,14160000
258,258/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104883/empty,Santoso Makmur,Slahung,23600000
259,259/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104884/empty,Sumber Mulyo,Truneng,8850000
260,260/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104885/empty,Among Kismo,Tugurejo,26550000
261,261/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104886/empty,Lestari Mulyo,Wates,26550000
262,262/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104887/empty,Tani Manunggal,Bedoho,17700000
263,263/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104888/empty,Bina Tani,Jurug,23600000
