no,no_bam,situs,poktan,desa,bast
149,607,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104989/empty,Aronta,Mardingding,5310000
150,608,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104990/empty,Pakkat,Mardingding,5900000
151,609,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104991/empty,Arsani,Mardingding,6195000
152,610,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104992/empty,Rukun Siroga,Mardingding,5605000
153,611,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104993/empty,Mamre A,Mardingding,7080000
154,612,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104994/empty,Subur Tani,Mardingding,7080000
155,613,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104995/empty,Page Tambar Lihe,Mardingding,5900000
156,614,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104996/empty,Persadanta,Mardingding,6195000
157,615,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104997/empty,Galoh Simbelang,Mardingding,5605000
158,616,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104998/empty,Sisampaten,Mardingding,5605000
159,617,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104999/empty,Fajar Tani,Mardingding,5900000
160,618,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105000/empty,Lanogan,Mardingding,7080000
161,619,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105001/empty,Karoja,Mardingding,5900000
162,620,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105002/empty,Pengalahen Simalem,Mardingding,5605000
163,621,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105003/empty,Hibrida I,Mardingding,5015000
168,626,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105008/empty,Martabe,Batu Rongkam,10325000
169,627,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105009/empty,Dos Roha,Batu Rongkam,12980000
170,628,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105010/empty,Page Mulana,Batu Rongkam,13275000
171,629,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105011/empty,Saroha,Batu Rongkam,12980000
172,630,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105012/empty,Martabe II,Batu Rongkam,12390000
173,631,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105013/empty,Bersama Tani,Batu Rongkam,12390000
174,632,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105014/empty,Rim Ni Tahi,Batu Rongkam,11800000
175,633,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105015/empty,Pemuda Pancasila,Buluh Pancur,8850000
176,634,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105016/empty,Erlajar Robah,Buluh Pancur,10325000
177,635,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105017/empty,Mula Ni Holong,Buluh Pancur,11800000
