no,No,situs,poktan,desa,bast
134,412,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104584/empty,Tani Maju,Canan,29500000
135,413,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104586/empty,Kadung Makmur,Kalitengah,19175000
136,414,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104588/empty,Karya Makmur,Gadungan,10325000
137,415,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104590/empty,Tani Rejeki,Temuwangi,4425000
138,416,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104592/empty,Tani Sempulur,Temuwangi,4425000
139,417,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104594/empty,Agung Rejeki,Beji,4425000
140,418,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104596/empty,Ngudi Rejeki,Beji,4425000
141,419,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104598/empty,Marsudi Raharjo,Ngaren,5900000
142,420,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104600/empty,Ngudi Mulyo,Ngaren,5900000
143,421,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104603/empty,Tani Makmur,Jetiswetan,4425000
144,422,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104605/empty,Ngudi Makmur,Jetiswetan,4425000
145,423,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104607/empty,Tani Mulyo,Jatimulyo,4425000
146,424,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104609/empty,Sido Mulyo,Jatimulyo,4425000
147,425,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104611/empty,Darma Tani,Keden,2950000
148,426,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104613/empty,Usaha Tani,Keden,2950000
149,427,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104615/empty,Karya Tani,Keden,2950000
150,428,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104617/empty,Among Tani,Bendo,4425000
151,429,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104619/empty,Among Tirto,Bendo,4425000
152,430,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104622/empty,Among Kismo,Bendo,4425000
153,431,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104623/empty,Sri Rejeki,Tambakboyo,2950000
154,432,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104626/empty,Sedyo Makmur,Tambakboyo,2950000
155,433,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104628/empty,Merdi Tani,Kedungan,2950000
156,434,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104630/empty,Tirto Moyo,Kedungan,2950000
157,435,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104632/empty,Sedyo Mulyo,Sobayan,2950000
158,436,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104634/empty,Tani Unggul,Kalangan,2950000
159,437,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104635/empty,Ngudi Rejeki,Kalangan,5900000
160,438,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104638/empty,Sumber Rejeki,Kalangan,5900000
161,439,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104639/empty,Martani Boga,Troketon,5900000
162,440,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104641/empty,Boga Martani,Troketon,5900000
163,441,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104643/empty,Sedyo Raharjo,Troketon,5900000
164,442,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104645/empty,Ngudi Makmur,Kaligawe,5900000
165,443,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104647/empty,Sedyo Makmur,Kaligawe,5900000
166,444,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104649/empty,Kismo Aji,Lemahireng,5900000
167,445,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104651/empty,Kismo Sari,Lemahireng,5900000
