no,image,situs,poktan,desa,bast,total,tanggal,ongkir
106,564/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104946/empty,Sada Nioga,Lau Pakam,6490000,7282000,07-11-2023,792000
107,565/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104947/empty,Ola Kisat,Lau Pakam,6490000,7282000,07-11-2023,792000
108,566/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104948/empty,Maju Tani,Lau Pakam,7965000,8937000,07-11-2023,972000
109,567/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104949/empty,Dosniroha,Lau Pakam,6490000,7282000,07-11-2023,792000
110,568/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104950/empty,Baluren Bagas,Lau Pakam,6490000,7282000,07-11-2023,792000
111,569/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104951/empty,Saroha,Lau Pakam,7965000,8937000,07-11-2023,972000
112,570/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104952/empty,Nusantara,Lau Pakam,8555000,9599000,07-11-2023,1044000
113,571/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104953/empty,Putra Tani,Lau Pakam,7670000,8606000,07-11-2023,936000
114,572/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104954/empty,Pasar Tonga,Lau Pakam,5900000,6620000,07-11-2023,720000
115,573/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104955/empty,Mandiri,Mardingding,7080000,7944000,07-11-2023,864000
116,574/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104956/empty,Simulih Karaben,Mardingding,6195000,6951000,07-11-2023,756000
117,575/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104957/empty,Silegin Ukur,Mardingding,5605000,6289000,07-11-2023,684000
118,576/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104958/empty,Kelengna,Mardingding,5900000,6620000,07-11-2023,720000
119,577/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104959/empty,Cinta Ibu,Mardingding,6195000,6951000,07-11-2023,756000
120,578/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104960/empty,Sada Arih,Mardingding,5605000,6289000,07-11-2023,684000
121,579/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104961/empty,Swakarya,Mardingding,7080000,7944000,07-11-2023,864000
122,580/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104962/empty,Serba Guna,Mardingding,6195000,6951000,07-11-2023,756000
123,581/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104963/empty,Kekelengenta Ras,Mardingding,5605000,6289000,07-11-2023,684000
124,582/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104964/empty,Tunas Muda,Mardingding,5605000,6289000,07-11-2023,684000
125,583/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104965/empty,Mamre B,Mardingding,5015000,5627000,07-11-2023,612000
126,584/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104966/empty,Mangga Dua,Mardingding,5310000,5958000,07-11-2023,648000
127,585/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104967/empty,Tambar Malem A,Mardingding,6490000,7282000,07-11-2023,792000
128,586/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104968/empty,KBG RK,Mardingding,7670000,8606000,07-11-2023,936000
129,587/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104969/empty,Karoni,Mardingding,6490000,7282000,07-11-2023,792000
130,588/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104970/empty,Sejahtera,Mardingding,5900000,6620000,07-11-2023,720000
131,589/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104971/empty,Tambar Malem B,Mardingding,5900000,6620000,07-11-2023,720000
132,590/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104972/empty,Paya Kelambue,Mardingding,5015000,5627000,07-11-2023,612000
133,591/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104973/empty,Soala Gogo,Mardingding,5605000,6289000,07-11-2023,684000
134,592/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104974/empty,Panggong Budan,Mardingding,5605000,6289000,07-11-2023,684000
135,593/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104975/empty,Lau Tualang Simalem,Mardingding,5605000,6289000,07-11-2023,684000
136,594/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104976/empty,Ajar Bancina,Mardingding,6195000,6951000,07-11-2023,756000
137,595/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104977/empty,Sini Suka,Mardingding,5605000,6289000,07-11-2023,684000
138,596/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104978/empty,Batu Mamak,Mardingding,4720000,5296000,07-11-2023,576000
139,597/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104979/empty,Suka Bersama,Mardingding,7965000,8937000,07-11-2023,972000
140,598/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104980/empty,Sada Nioga,Mardingding,6195000,6951000,07-11-2023,756000
