no,image,situs,poktan,desa,bast,bast_file
508,1976,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81414/empty,Maju Bersama,Air Solok Batu,23600000,1976
509,1977,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81416/empty,Rumpunmas Jaya,Air Solok Batu,23600000,1977
510,1978,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81417/empty,Sumber Manis,Air Solok Batu,23600000,1978
511,1979,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81418/empty,Sumber Pangan,Air Solok Batu,23600000,1979
512,1980,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81419/empty,Tani Jaya,Air Solok Batu,23600000,1980
513,1981,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81421/empty,Bumi Lestari I,Upang,21240000,1981
514,1982,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81422/empty,Bumi Lestari II,Upang,20060000,1982
515,1983,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81423/empty,Usaha Mandiri,Upang,14750000,1983
516,1984,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81425/empty,Mandala II,Upang,12980000,1984
517,1985,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81426/empty,Karya Banten,Upang,20060000,1985
518,1986,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81428/empty,Parit Asia,Upang,12390000,1986
519,1987,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81429/empty,Sejahtera,Upang,17700000,1987
520,1988,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81430/empty,Bahrul Ulum,Upang,10030000,1988
521,1989,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81431/empty,Karya Utama,Upang,14750000,1989
522,1990,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81433/empty,Tani Makmur I,Upang,10620000,1990
523,1991,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81434/empty,Tani Makmur II,Upang,16520000,1991
524,1992,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81435/empty,Suka Damai,Upang,19470000,1992
525,1993,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81437/empty,Srimulya,Upang,11800000,1993
526,1994,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81438/empty,Sida Mulya,Upang,11210000,1994
527,1995,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81439/empty,Mandala I,Upang,4720000,1995
528,1996,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81440/empty,Parit Jaya,Upang,6490000,1996
529,1997,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81441/empty,Al Barokah,Upang,14750000,1997
530,1998,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81442/empty,Arrohmah,Upang,9440000,1998
531,1999,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81443/empty,Sukamaju A,Saleh Mulya,20355000,1999
532,2000,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81444/empty,Sukamaju B,Saleh Mulya,17700000,2000
533,2001,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81445/empty,Sumber Harapan,Saleh Mulya,15045000,2001
534,2002,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81446/empty,Makmur Jaya Abadi,Saleh Mulya,17700000,2002
535,2003,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81447/empty,Taruna Tani,Saleh Mulya,15340000,2003
536,2004,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81448/empty,Margo Makmur,Saleh Mulya,15340000,2004
537,2005,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81449/empty,Usaha Tani,Saleh Mulya,14750000,2005
538,2006,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81450/empty,Harapan Baru,Saleh Mulya,18585000,2006
539,2007,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81451/empty,Mekar Jaya,Upang Marga,18585000,2007
540,2008,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81452/empty,Sri Fatmawati,Upang Marga,11800000,2008
