no,no_bam,situs,poktan,desa,bast
164,164/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88755/empty,Makmur Maju,Aek Badak Jae,4720000
165,165/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88756/empty,Berkarya,Aek Badak Jae,4425000
166,166/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88757/empty,Suka Maju,Aek Badak Julu,5015000
167,167/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88758/empty,Martondi,Aek Badak Julu,4425000
168,168/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88759/empty,Makmur Jaya,Aek Badak Julu,2950000
169,169/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88760/empty,Sepakat,Aek Badak Julu,4720000
170,170/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88761/empty,Kwt Mawar,Aek Badak Julu,2950000
171,171/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88762/empty,Bersama,Bulu Gading,2950000
172,172/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88763/empty,Mawar,Bulu Gading,2950000
173,173/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88764/empty,Dolok Gon Gonan,Silaiya Tanjung Leuk,2950000
174,174/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88765/empty,Pekarangan,Silaiya Tanjung Leuk,4425000
175,175/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88766/empty,Sumber Hidup,Silaiya Tanjung Leuk,2950000
176,176/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88767/empty,Mawar,Bange,2950000
177,177/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88768/empty,Melati,Bange,4425000
178,178/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88769/empty,Manggis,Bange,4425000
179,179/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88770/empty,Setia,Tolang Jae,4425000
