no,no_bam,situs,poktan,desa,bast,bast_file,ongkir,tanggal
73,426/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79310/empty,Moso II,Lemo,7375000,426.jpg,900000,20-10-2023
74,427/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79311/empty,Karrang Situru,Buntu Tangti,4425000,427.jpg,540000,20-10-2023
75,428/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79312/empty,Minanga Timur,Buntu Tangti,4425000,428.jpg,540000,20-10-2023
76,429/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79313/empty,Batunna Boyo,Ke'pe Tinoring,4425000,429.jpg,540000,20-10-2023
77,430/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79314/empty,Misa Kada,Ke'pe Tinoring,7375000,430.jpg,900000,20-10-2023
78,431/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79315/empty,Siangkaran,Ke'pe Tinoring,4425000,431.jpg,540000,20-10-2023
79,432/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79316/empty,Bamba,Pantan,2065000,432.jpg,252000,11-10-2023
80,433/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79317/empty,Kosan,Lapandan,2950000,433.jpg,360000,11-10-2023
81,434/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79318/empty,Salu Tallu,Lapandan,2950000,434.jpg,360000,11-10-2023
82,435/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79319/empty,Salu Sitammu,Lapandan,4425000,435.jpg,540000,11-10-2023
83,436/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79320/empty,Tiropadang,Lapandan,2950000,436.jpg,360000,11-10-2023
84,437/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79321/empty,Tanete Lestari,Lapandan,2950000,437.jpg,360000,11-10-2023
85,438/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79322/empty,Kamali,Kamali Pentalluan,2950000,438.jpg,360000,11-10-2023
86,439/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79323/empty,Milan,Kamali Pentalluan,2950000,439.jpg,360000,11-10-2023
87,440/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79324/empty,Maju Bersama,Kamali Pentalluan,1475000,440.jpg,180000,11-10-2023
88,441/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79325/empty,To'Ao,Kamali Pentalluan,1475000,441.jpg,180000,11-10-2023
89,442/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79326/empty,Sanginaa,Tampo Makale,1475000,442.jpg,180000,11-10-2023
90,443/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79327/empty,Bina Akrab,Tampo Makale,2950000,443.jpg,360000,11-10-2023
91,444/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79328/empty,Usaha Agrobisnis Siguntu,Tampo Makale,1475000,444.jpg,180000,11-10-2023
92,445/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79329/empty,Usaha Terpadu Tampo,Tampo Makale,1475000,445.jpg,180000,11-10-2023
93,446/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79330/empty,Rante Tampo,Tampo Makale,2950000,446.jpg,360000,11-10-2023
94,447/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79331/empty,Banne Marendeng,Tondon Mamullu,2950000,447.jpg,360000,11-10-2023
95,448/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79332/empty,Ketapang,Tondon Mamullu,1475000,448.jpg,180000,11-10-2023
96,449/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79333/empty,KWT Batu Bungga,Lea,1475000,449.jpg,180000,11-10-2023
97,450/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79334/empty,KWT Birop,Lea,1475000,450.jpg,180000,11-10-2023
98,451/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79335/empty,KWT Rante Situru,Lea,1475000,451.jpg,180000,11-10-2023
99,452/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79336/empty,KWT Sikamali Babangan,Lea,1475000,452.jpg,180000,11-10-2023
100,453/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79337/empty,Lea Raya,Lea,1475000,453.jpg,180000,11-10-2023
101,454/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79338/empty,Rotani,Lea,1475000,454.jpg,180000,11-10-2023
102,455/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79339/empty,Siangkaran,Lea,1475000,455.jpg,180000,11-10-2023
103,456/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79340/empty,Situru Rante,Lea,1475000,456.jpg,180000,11-10-2023
104,457/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79341/empty,Suka Maju,Lea,1475000,457.jpg,180000,11-10-2023
105,458/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79342/empty,Taruna Tani,Lea,1475000,458.jpg,180000,11-10-2023
106,459/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79343/empty,Kali Sosso Burake,Buntu Burake,1475000,459.jpg,180000,11-10-2023
107,460/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79344/empty,Limbong,Buntu Burake,1475000,460.jpg,180000,11-10-2023
108,461/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79345/empty,Rante,Buntu Burake,1475000,461.jpg,180000,11-10-2023
109,462/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79346/empty,Sangkutu Banne,Buntu Burake,1475000,462.jpg,180000,11-10-2023
110,463/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79347/empty,Situlak Lulangngan,Buntu Burake,1475000,463.jpg,180000,11-10-2023
