no,nomor,situs,poktan,desa,bast
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91980/empty,Sri Rahayu,Cangak,11800000
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91981/empty,Tunggul Raharjo,Payung,7375000
124,124/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91982/empty,Sumber Waras,Parunggalih,14750000
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91983/empty,Tani Jaya,Payung,14750000
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91984/empty,Gunung Sari,Payung,13275000
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91985/empty,Dewi Sri,Kesesirejo,8850000
128,128/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91986/empty,Aneka Tani,Glandang,22125000
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91987/empty,Cipta Tani,Glandang,22125000
130,130/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91988/empty,Mulya Tani,Kuta,14750000
131,131/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91989/empty,Suka Maju,Kuta,20650000
132,132/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91990/empty,Among Tani,Purana,10325000
133,133/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91991/empty,Rekso Tani,Purana,22125000
134,134/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91992/empty,Cemerlang Usaha Tani,Purana,10325000
135,135/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91993/empty,Tani Makmur 1,Wanarata,8850000
136,136/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91994/empty,Tani Makmur 2,Wanarata,8850000
137,137/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91995/empty,Utama Sari IV,Banjarsari,13275000
138,138/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91996/empty,Ritma Sari I,Pegiringan,7375000
139,139/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91997/empty,Ritma Sari II,Pegiringan,7375000
