2023-10-08 15:23:00,715 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Atas, kelompok: Bina Bersama
2023-10-08 15:23:06,388 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Atas, kelompok: Berkat Mupakat
2023-10-08 15:23:11,803 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Siam Saba
2023-10-08 15:23:16,826 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Sumber Rejeki
2023-10-08 15:23:21,838 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Karya Tani
2023-10-08 15:23:27,572 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Karya Makmur
2023-10-08 15:23:32,756 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Sumber Tani
2023-10-08 15:23:38,056 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Unus Mayang
2023-10-08 15:23:43,199 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Suka Maju
2023-10-08 15:23:48,174 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Karang Dukuh
2023-10-08 15:23:53,122 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Karya Bersama
2023-10-08 15:23:58,413 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Banih Mutiara
2023-10-08 15:24:03,341 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Siam Birik
2023-10-08 15:24:08,567 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Birayang Bawah, kelompok: Membangun Bersama
2023-10-08 15:24:14,230 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bumi Makmur, desa: Handil Suruk, kelompok: Arjuna
